,root,split,maxTaskPar,shortest,time
0,1,4,1,220.563,278.99979999999994
1,1,10,1,220.563,294.4126
2,1,4,2,220.563,153.3728
3,1,10,2,220.563,193.0668
4,1,4,3,220.563,95.28492000000001
5,1,10,3,220.563,99.44836000000001
6,1,4,4,220.563,90.41864
7,1,10,4,220.563,80.74042
8,1,4,5,220.563,90.34474
9,1,10,5,220.563,73.92034
10,1,4,6,220.563,90.28808
11,1,10,6,220.563,71.72855999999999
12,1,4,7,220.563,92.60038
13,1,10,7,220.563,74.12278
14,1,4,8,220.563,94.17324
15,1,10,8,220.563,69.77192
16,1,4,9,220.563,94.17681999999999
17,1,10,9,220.563,70.16016
18,1,4,10,220.563,94.12698
19,1,10,10,220.563,69.28528
20,1,4,11,220.563,94.23330000000001
21,1,10,11,220.563,70.02128
22,1,4,12,220.563,94.89435999999999
23,1,10,12,220.563,69.192
