,root,split,maxTaskPar,shortest,time
0,1,4,1,220.563,429.16700000000003
1,1,10,1,220.563,869.4556
2,1,4,2,220.563,228.6594
3,1,10,2,220.563,460.6384
4,1,4,3,220.563,246.99539999999996
5,1,10,3,220.563,361.88700000000006
6,1,4,4,220.563,132.9076
7,1,10,4,220.563,271.0226
8,1,4,5,220.563,132.8398
9,1,10,5,220.563,197.65119999999996
10,1,4,6,220.563,132.8496
11,1,10,6,220.563,194.7416
12,1,4,7,220.563,137.2346
13,1,10,7,220.563,200.97179999999997
14,1,4,8,220.563,137.2716
15,1,10,8,220.563,198.1014
16,1,4,9,220.563,137.2524
17,1,10,9,220.563,178.46199999999996
18,1,4,10,220.563,137.28199999999998
19,1,10,10,220.563,123.69239999999999
20,1,4,11,220.563,137.53839999999997
21,1,10,11,220.563,123.56859999999999
22,1,4,12,220.563,137.23080000000002
23,1,10,12,220.563,123.69300000000001
